text,intent
I need help with exchange process,Shopping
What are trending products,Shopping
I want to buy furniture,Shopping
How to place an online order,Shopping
Tell me about shopping apps,Shopping
I need help with order return,Shopping
What are popular shopping categories,Shopping
I want to buy accessories,Shopping
How to manage online purchases,Shopping
Tell me about festive offers,Shopping
I need help with shopping cart,Shopping
What payment options are available,Shopping
How to check order status,Shopping
Tell me about discount sales,Shopping
I want to buy fashion items,Shopping


I want to watch a movie tonight,Entertainment
Suggest some good movies to watch,Entertainment
What are the latest movies released,Entertainment
Tell me about trending web series,Entertainment
I am looking for popular TV shows,Entertainment
Which movies are popular right now,Entertainment
I want to stream movies online,Entertainment
What are the best movies on OTT platforms,Entertainment
Tell me about new Netflix series,Entertainment
Suggest some comedy movies,Entertainment
I want to listen to music,Entertainment
What are the top songs this week,Entertainment
Tell me about trending music albums,Entertainment
I am looking for new songs to listen to,Entertainment
Suggest good playlists for entertainment,Entertainment
I want to play video games,Entertainment
What are the most popular video games,Entertainment
Tell me about trending mobile games,Entertainment
Suggest some fun games to play,Entertainment
I want to watch live sports events,Entertainment
Tell me about upcoming sports matches,Entertainment
I want to book movie tickets online,Entertainment
How to book tickets for a movie show,Entertainment
Tell me about upcoming movies,Entertainment
What movies are releasing this week,Entertainment
I want to attend a concert,Entertainment
Tell me about live music events,Entertainment
What entertainment events are happening nearby,Entertainment
Suggest some entertainment options for weekend,Entertainment
I want to watch comedy shows,Entertainment
Tell me about stand up comedy shows,Entertainment
Suggest family friendly movies,Entertainment
I want to watch cartoons and animated movies,Entertainment
Tell me about popular YouTube entertainment channels,Entertainment
What are trending entertainment videos,Entertainment
I want to watch documentaries,Entertainment
Tell me about award shows,Entertainment
What are popular OTT platforms,Entertainment
Suggest some fun entertainment content,Entertainment


Hello,General
Hi,General
Good morning,General
Good evening,General
How are you,General
Can you help me,General
I need help,General
Please help me,General
I have a question,General
Can you answer something,General
I need some information,General
Please provide details,General
Can you explain this,General
I am confused,General
I need clarification,General
Can you guide me,General
I need assistance right now,General
Please assist me,General
I want to know something,General
Tell me more details,General
What should I do next,General
Can you respond,General
I need support,General
Please reply,General
I have an issue,General
Can you help me with this,General
I am not sure about this,General
Explain this clearly,General
Can you help,General
I need an answer,General
Please explain,General
I want more information,General
Can you tell me more,General
I need guidance,General
What does this mean,General
Can you clarify this,General
I need help understanding this,General
Please advise,General
Let me know more,General
